
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
 sarp-5-8-A-2,5,8,5,23.7679,37.1891,49.5213,2,5.39,11.4357,Optimal,11.4357,11.4357,0
 sarp-5-8-C-1,5,8,4,48.241,61.8075,46.8418,2,0.31,63.2067,Optimal,63.2067,63.2067,0
 sarp-5-9-A-2,5,9,3,24.7871,26.11,36.9443,2,0.29,13.9528,Optimal,13.9528,13.9528,0
 sarp-5-9-C-2,5,9,4,53.6926,54.4301,53.4443,2,11.4,54.6784,Optimal,54.6784,54.6837,0.0096921
 sarp-7-5-A-1,7,5,3,35.8378,23.3528,40.5328,2,2.51,18.6578,Optimal,18.6578,18.6578,0
 sarp-7-6-A-1,7,6,2,35.6649,15.2064,37.3915,2,6.43,13.4798,Optimal,13.4798,13.4809,0.00815969
