
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
sfsarp-10-6-1.txt ,1.20148,1.41365,1.15822,1.09285,11.3979,7.73594,24,5.00616,5.89019,4.82593,4.55352,47.4911,32.2331
sfsarp-10-6-2.txt ,1.39793,1.46911,1.30251,0.686085,10.2765,8.86791,24,5.8247,6.12128,5.42713,2.85869,42.8186,36.9496
sfsarp-10-6-3.txt ,2.19313,1.4472,1.14511,1.32189,7.24919,10.6435,24,9.13802,6.03001,4.7713,5.50786,30.205,44.3478
sfsarp-10-6-4.txt ,1.12005,2.01237,1.36843,0.739662,5.5986,13.1609,24,4.66689,8.38486,5.70181,3.08193,23.3275,54.837
sfsarp-10-6-5.txt ,1.01956,1.82741,1.94975,1.08651,8.31552,17.8012,32,3.18614,5.71067,6.09298,3.39534,25.986,55.6289
