
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
sfsarp-20-10-1.txt ,20,10,10,96.6816,43.22,30.4167,4,7.12,109.485,Optimal,109.485,109.485,0
sfsarp-20-10-2.txt ,20,10,8,87.6824,36.9099,33.1088,3,6.08,91.4835,Optimal,91.4835,91.4835,0
sfsarp-20-10-3.txt ,20,10,8,104.298,35.7867,37.9032,4,7.89,102.181,Optimal,102.181,102.181,0
sfsarp-20-10-4.txt ,20,10,9,96.8683,72.9371,66.6358,4,8.39,103.169,Optimal,103.169,103.169,0
sfsarp-20-10-5.txt ,20,10,10,113.532,41.44,55.9659,3,4.88,99.0065,Optimal,99.0065,99.0065,0
